feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
openai-modeling-gpt-5.2-promptTokens,openai-modeling-gpt-5.2,SUM,promptTokens,0.00000175
openai-voicemail-detection-gpt-5.2-promptTokens,openai-voicemail-detection-gpt-5.2,SUM,promptTokens,0.00000175
openai-modeling-completion-gpt-5.2-promptTokens,openai-modeling-completion-gpt-5.2,SUM,promptTokens,0.00000175
openai-knowledge-base-gpt-5.2-promptTokens,openai-knowledge-base-gpt-5.2,SUM,promptTokens,0.00000175
openai-modeling-gpt-5.2-completionTokens,openai-modeling-gpt-5.2,SUM,completionTokens,0.000014
openai-voicemail-detection-gpt-5.2-completionTokens,openai-voicemail-detection-gpt-5.2,SUM,completionTokens,0.000014
openai-modeling-completion-gpt-5.2-completionTokens,openai-modeling-completion-gpt-5.2,SUM,completionTokens,0.000014
openai-knowledge-base-gpt-5.2-completionTokens,openai-knowledge-base-gpt-5.2,SUM,completionTokens,0.000014
openai-modeling-gpt-5.2-cachedPromptTokens,openai-modeling-gpt-5.2,SUM,cachedPromptTokens,0.000000175
openai-voicemail-detection-gpt-5.2-cachedPromptTokens,openai-voicemail-detection-gpt-5.2,SUM,cachedPromptTokens,0.000000175
openai-modeling-completion-gpt-5.2-cachedPromptTokens,openai-modeling-completion-gpt-5.2,SUM,cachedPromptTokens,0.000000175
openai-knowledge-base-gpt-5.2-cachedPromptTokens,openai-knowledge-base-gpt-5.2,SUM,cachedPromptTokens,0.000000175
openai-modeling-gpt-5.1-promptTokens,openai-modeling-gpt-5.1,SUM,promptTokens,0.00000125
openai-voicemail-detection-gpt-5.1-promptTokens,openai-voicemail-detection-gpt-5.1,SUM,promptTokens,0.00000125
openai-modeling-completion-gpt-5.1-promptTokens,openai-modeling-completion-gpt-5.1,SUM,promptTokens,0.00000125
openai-knowledge-base-gpt-5.1-promptTokens,openai-knowledge-base-gpt-5.1,SUM,promptTokens,0.00000125
openai-modeling-gpt-5.1-completionTokens,openai-modeling-gpt-5.1,SUM,completionTokens,0.00001
openai-voicemail-detection-gpt-5.1-completionTokens,openai-voicemail-detection-gpt-5.1,SUM,completionTokens,0.00001
openai-modeling-completion-gpt-5.1-completionTokens,openai-modeling-completion-gpt-5.1,SUM,completionTokens,0.00001
openai-knowledge-base-gpt-5.1-completionTokens,openai-knowledge-base-gpt-5.1,SUM,completionTokens,0.00001
openai-modeling-gpt-5.1-cachedPromptTokens,openai-modeling-gpt-5.1,SUM,cachedPromptTokens,0.000000125
openai-voicemail-detection-gpt-5.1-cachedPromptTokens,openai-voicemail-detection-gpt-5.1,SUM,cachedPromptTokens,0.000000125
openai-modeling-completion-gpt-5.1-cachedPromptTokens,openai-modeling-completion-gpt-5.1,SUM,cachedPromptTokens,0.000000125
openai-knowledge-base-gpt-5.1-cachedPromptTokens,openai-knowledge-base-gpt-5.1,SUM,cachedPromptTokens,0.000000125
openai-modeling-gpt-5-promptTokens,openai-modeling-gpt-5,SUM,promptTokens,0.00000125
openai-voicemail-detection-gpt-5-promptTokens,openai-voicemail-detection-gpt-5,SUM,promptTokens,0.00000125
openai-modeling-completion-gpt-5-promptTokens,openai-modeling-completion-gpt-5,SUM,promptTokens,0.00000125
openai-knowledge-base-gpt-5-promptTokens,openai-knowledge-base-gpt-5,SUM,promptTokens,0.00000125
openai-modeling-gpt-5-completionTokens,openai-modeling-gpt-5,SUM,completionTokens,0.00001
openai-voicemail-detection-gpt-5-completionTokens,openai-voicemail-detection-gpt-5,SUM,completionTokens,0.00001
openai-modeling-completion-gpt-5-completionTokens,openai-modeling-completion-gpt-5,SUM,completionTokens,0.00001
openai-knowledge-base-gpt-5-completionTokens,openai-knowledge-base-gpt-5,SUM,completionTokens,0.00001
openai-modeling-gpt-5-cachedPromptTokens,openai-modeling-gpt-5,SUM,cachedPromptTokens,0.000000125
openai-voicemail-detection-gpt-5-cachedPromptTokens,openai-voicemail-detection-gpt-5,SUM,cachedPromptTokens,0.000000125
openai-modeling-completion-gpt-5-cachedPromptTokens,openai-modeling-completion-gpt-5,SUM,cachedPromptTokens,0.000000125
openai-knowledge-base-gpt-5-cachedPromptTokens,openai-knowledge-base-gpt-5,SUM,cachedPromptTokens,0.000000125
openai-modeling-gpt-5-mini-promptTokens,openai-modeling-gpt-5-mini,SUM,promptTokens,0.00000025
openai-voicemail-detection-gpt-5-mini-promptTokens,openai-voicemail-detection-gpt-5-mini,SUM,promptTokens,0.00000025
openai-modeling-completion-gpt-5-mini-promptTokens,openai-modeling-completion-gpt-5-mini,SUM,promptTokens,0.00000025
openai-knowledge-base-gpt-5-mini-promptTokens,openai-knowledge-base-gpt-5-mini,SUM,promptTokens,0.00000025
openai-modeling-gpt-5-mini-completionTokens,openai-modeling-gpt-5-mini,SUM,completionTokens,0.000002
openai-voicemail-detection-gpt-5-mini-completionTokens,openai-voicemail-detection-gpt-5-mini,SUM,completionTokens,0.000002
openai-modeling-completion-gpt-5-mini-completionTokens,openai-modeling-completion-gpt-5-mini,SUM,completionTokens,0.000002
openai-knowledge-base-gpt-5-mini-completionTokens,openai-knowledge-base-gpt-5-mini,SUM,completionTokens,0.000002
openai-modeling-gpt-5-mini-cachedPromptTokens,openai-modeling-gpt-5-mini,SUM,cachedPromptTokens,0.000000025000000000000002
openai-voicemail-detection-gpt-5-mini-cachedPromptTokens,openai-voicemail-detection-gpt-5-mini,SUM,cachedPromptTokens,0.000000025000000000000002
openai-modeling-completion-gpt-5-mini-cachedPromptTokens,openai-modeling-completion-gpt-5-mini,SUM,cachedPromptTokens,0.000000025000000000000002
openai-knowledge-base-gpt-5-mini-cachedPromptTokens,openai-knowledge-base-gpt-5-mini,SUM,cachedPromptTokens,0.000000025000000000000002
openai-modeling-gpt-5-nano-promptTokens,openai-modeling-gpt-5-nano,SUM,promptTokens,0.000000050000000000000004
openai-voicemail-detection-gpt-5-nano-promptTokens,openai-voicemail-detection-gpt-5-nano,SUM,promptTokens,0.000000050000000000000004
openai-modeling-completion-gpt-5-nano-promptTokens,openai-modeling-completion-gpt-5-nano,SUM,promptTokens,0.000000050000000000000004
openai-knowledge-base-gpt-5-nano-promptTokens,openai-knowledge-base-gpt-5-nano,SUM,promptTokens,0.000000050000000000000004
openai-modeling-gpt-5-nano-completionTokens,openai-modeling-gpt-5-nano,SUM,completionTokens,0.00000040000000000000003
openai-voicemail-detection-gpt-5-nano-completionTokens,openai-voicemail-detection-gpt-5-nano,SUM,completionTokens,0.00000040000000000000003
openai-modeling-completion-gpt-5-nano-completionTokens,openai-modeling-completion-gpt-5-nano,SUM,completionTokens,0.00000040000000000000003
openai-knowledge-base-gpt-5-nano-completionTokens,openai-knowledge-base-gpt-5-nano,SUM,completionTokens,0.00000040000000000000003
