feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
OpenAI-modeling-gpt-5.2-promptTokens,OpenAI-modeling-gpt-5.2,SUM,promptTokens,1.75
OpenAI-voicemail-detection-gpt-5.2-promptTokens,OpenAI-voicemail-detection-gpt-5.2,SUM,promptTokens,1.75
OpenAI-modeling-completion-gpt-5.2-promptTokens,OpenAI-modeling-completion-gpt-5.2,SUM,promptTokens,1.75
OpenAI-knowledge-base-gpt-5.2-promptTokens,OpenAI-knowledge-base-gpt-5.2,SUM,promptTokens,1.75
OpenAI-modeling-gpt-5.2-completionTokens,OpenAI-modeling-gpt-5.2,SUM,completionTokens,14
OpenAI-voicemail-detection-gpt-5.2-completionTokens,OpenAI-voicemail-detection-gpt-5.2,SUM,completionTokens,14
OpenAI-modeling-completion-gpt-5.2-completionTokens,OpenAI-modeling-completion-gpt-5.2,SUM,completionTokens,14
OpenAI-knowledge-base-gpt-5.2-completionTokens,OpenAI-knowledge-base-gpt-5.2,SUM,completionTokens,14
OpenAI-modeling-gpt-5.2-cachedPromptTokens,OpenAI-modeling-gpt-5.2,SUM,cachedPromptTokens,0.175
OpenAI-voicemail-detection-gpt-5.2-cachedPromptTokens,OpenAI-voicemail-detection-gpt-5.2,SUM,cachedPromptTokens,0.175
OpenAI-modeling-completion-gpt-5.2-cachedPromptTokens,OpenAI-modeling-completion-gpt-5.2,SUM,cachedPromptTokens,0.175
OpenAI-knowledge-base-gpt-5.2-cachedPromptTokens,OpenAI-knowledge-base-gpt-5.2,SUM,cachedPromptTokens,0.175
OpenAI-modeling-gpt-5.1-promptTokens,OpenAI-modeling-gpt-5.1,SUM,promptTokens,1.25
OpenAI-voicemail-detection-gpt-5.1-promptTokens,OpenAI-voicemail-detection-gpt-5.1,SUM,promptTokens,1.25
OpenAI-modeling-completion-gpt-5.1-promptTokens,OpenAI-modeling-completion-gpt-5.1,SUM,promptTokens,1.25
OpenAI-knowledge-base-gpt-5.1-promptTokens,OpenAI-knowledge-base-gpt-5.1,SUM,promptTokens,1.25
OpenAI-modeling-gpt-5.1-completionTokens,OpenAI-modeling-gpt-5.1,SUM,completionTokens,10
OpenAI-voicemail-detection-gpt-5.1-completionTokens,OpenAI-voicemail-detection-gpt-5.1,SUM,completionTokens,10
OpenAI-modeling-completion-gpt-5.1-completionTokens,OpenAI-modeling-completion-gpt-5.1,SUM,completionTokens,10
OpenAI-knowledge-base-gpt-5.1-completionTokens,OpenAI-knowledge-base-gpt-5.1,SUM,completionTokens,10
OpenAI-modeling-gpt-5.1-cachedPromptTokens,OpenAI-modeling-gpt-5.1,SUM,cachedPromptTokens,0.125
OpenAI-voicemail-detection-gpt-5.1-cachedPromptTokens,OpenAI-voicemail-detection-gpt-5.1,SUM,cachedPromptTokens,0.125
OpenAI-modeling-completion-gpt-5.1-cachedPromptTokens,OpenAI-modeling-completion-gpt-5.1,SUM,cachedPromptTokens,0.125
OpenAI-knowledge-base-gpt-5.1-cachedPromptTokens,OpenAI-knowledge-base-gpt-5.1,SUM,cachedPromptTokens,0.125
OpenAI-modeling-gpt-5-promptTokens,OpenAI-modeling-gpt-5,SUM,promptTokens,1.25
OpenAI-voicemail-detection-gpt-5-promptTokens,OpenAI-voicemail-detection-gpt-5,SUM,promptTokens,1.25
OpenAI-modeling-completion-gpt-5-promptTokens,OpenAI-modeling-completion-gpt-5,SUM,promptTokens,1.25
