feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
google-voicemail-detection-gemini-2.5-flash,google-voicemail-detection-gemini-2.5-flash,SUM,,0
azure-openai-modeling,azure-openai-modeling,SUM,,0
openai-modeling,openai-modeling,SUM,,0
llm-stream-modeling-completion,llm-stream-modeling-completion,SUM,,0
vapi-vapi-hosting,vapi-vapi-hosting,SUM,durationMS,0
deepgram-synthesizer,deepgram-synthesizer,SUM,durationMS,0
11labs-synthesizer-eleven_turbo_v2_5,11labs-synthesizer-eleven_turbo_v2_5,SUM,durationMS,0
anthropic-modeling-claude-3-7-sonnet-20250219,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,,0
openai-voicemail-detection-gpt-4o-audio-preview,openai-voicemail-detection-gpt-4o-audio-preview,SUM,,0
custom-llm-modeling,custom-llm-modeling,SUM,,0
anthropic-modeling,anthropic-modeling,SUM,,0
deepgram-transcriber,deepgram-transcriber,SUM,numCharacters,0
11labs-synthesizer-eleven_turbo_v2,11labs-synthesizer-eleven_turbo_v2,SUM,durationMS,0
anthropic-modeling-claude-sonnet-4-20250514,anthropic-modeling-claude-sonnet-4-20250514,SUM,,0
google-modeling,google-modeling,SUM,,0
cartesia-transcriber,cartesia-transcriber,SUM,numCharacters,0.000000027
11labs-synthesizer-eleven_flash_v2_5,11labs-synthesizer-eleven_flash_v2_5,SUM,durationMS,0
anthropic-modeling-claude-haiku-4-5-20251001,anthropic-modeling-claude-haiku-4-5-20251001,SUM,,0
11labs-synthesizer-eleven_multilingual_v2,11labs-synthesizer-eleven_multilingual_v2,SUM,durationMS,0
azure-synthesizer,azure-synthesizer,SUM,durationMS,0
11labs-synthesizer-eleven_flash_v2,11labs-synthesizer-eleven_flash_v2,SUM,durationMS,0
cartesia-synthesizer-sonic-3,cartesia-synthesizer-sonic-3,SUM,durationMS,0
vapi-audio-recording,vapi-audio-recording,SUM,durationMS,0
vapi-vapi-transport,vapi-vapi-transport,SUM,durationMS,0
krisp-transcriber-krisp,krisp-transcriber-krisp,SUM,numCharacters,0
anthropic-modeling-claude-haiku-4-5-20251001,anthropic-modeling-claude-haiku-4-5-20251001,SUM,,0
deepgram-synthesizer-aura-2,deepgram-synthesizer-aura-2,SUM,durationMS,0
cartesia-synthesizer-sonic-2,cartesia-synthesizer-sonic-2,SUM,durationMS,0
anthropic-modeling-claude-3-5-sonnet-20240620,anthropic-modeling-claude-3-5-sonnet-20240620,SUM,,0
anthropic-bedrock-modeling,anthropic-bedrock-modeling,SUM,,0
anthropic-bedrock-modeling-claude-3-5-sonnet-20240620,anthropic-bedrock-modeling-claude-3-5-sonnet-20240620,SUM,,0
anthropic-vertex-modeling,anthropic-vertex-modeling,SUM,,0
groq-modeling,groq-modeling,SUM,,0
openrouter-modeling,openrouter-modeling,SUM,,0
anthropic-modeling-claude-sonnet-4-5-20250929,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,,0
anthropic-vertex-modeling-claude-3-5-sonnet-20240620,anthropic-vertex-modeling-claude-3-5-sonnet-20240620,SUM,,0
xai-modeling,xai-modeling,SUM,,0
11labs-synthesizer,11labs-synthesizer,SUM,durationMS,0
assemblyai-synthesizer-universal,assemblyai-synthesizer-universal,SUM,durationMS,0
minimax-synthesizer,minimax-synthesizer,SUM,durationMS,0
vapi-video-recording,vapi-video-recording,SUM,durationMS,0
anthropic-modeling-claude-3-5-haiku-20241022,anthropic-modeling-claude-3-5-haiku-20241022,SUM,,0
anthropic-modeling-claude-3-7-sonnet-20250219,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,,0
anthropic-modeling-claude-opus-4-5-20251101,anthropic-modeling-claude-opus-4-5-20251101,SUM,,0
orpheus-synthesizer,orpheus-synthesizer,SUM,durationMS,0
assemblyai-transcriber-universal,assemblyai-transcriber-universal,SUM,numCharacters,0
azure-transcriber,azure-transcriber,SUM,numCharacters,0
google-knowledge-base-gemini-2.0-flash,google-knowledge-base-gemini-2.0-flash,SUM,,0
openai-synthesizer,openai-synthesizer,SUM,durationMS,0
together-ai-modeling,together-ai-modeling,SUM,,0
google-synthesizer-gemini-2.0-flash,google-synthesizer-gemini-2.0-flash,SUM,durationMS,0
elevenlabs-synthesizer,elevenlabs-synthesizer,SUM,durationMS,0
cartesia-synthesizer-sonic-english,cartesia-synthesizer-sonic-english,SUM,durationMS,0
11labs-synthesizer-eleven_monolingual_v1,11labs-synthesizer-eleven_monolingual_v1,SUM,durationMS,0
anthropic-modeling-claude-sonnet-4-20250514,anthropic-modeling-claude-sonnet-4-20250514,SUM,,0
openai-synthesizer-tts-1,openai-synthesizer-tts-1,SUM,durationMS,0
openai-synthesizer-gpt-4o-mini-tts,openai-synthesizer-gpt-4o-mini-tts,SUM,durationMS,0
anthropic-modeling-claude-opus-4-20250514,anthropic-modeling-claude-opus-4-20250514,SUM,,0
hume-synthesizer-octave,hume-synthesizer-octave,SUM,durationMS,0
elevenlabs-transcriber,elevenlabs-transcriber,SUM,numCharacters,0
openai-transcriber,openai-transcriber,SUM,numCharacters,0
deepgram-synthesizer-aura,deepgram-synthesizer-aura,SUM,durationMS,0
rime-ai-synthesizer,rime-ai-synthesizer,SUM,durationMS,0
speechmatics-transcriber-ar,speechmatics-transcriber-ar,SUM,numCharacters,0
anthropic-modeling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,anthropic-modeling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,SUM,,0
gladia-synthesizer,gladia-synthesizer,SUM,durationMS,0
google-synthesizer-gemini-2.5-flash,google-synthesizer-gemini-2.5-flash,SUM,durationMS,0
google-transcriber-gemini-2.0-flash,google-transcriber-gemini-2.0-flash,SUM,numCharacters,0
cartesia-synthesizer-sonic-multilingual,cartesia-synthesizer-sonic-multilingual,SUM,durationMS,0
hume-synthesizer-octave2,hume-synthesizer-octave2,SUM,durationMS,0
google-transcriber-gemini-2.5-flash,google-transcriber-gemini-2.5-flash,SUM,numCharacters,0
deep-seek-modeling,deep-seek-modeling,SUM,,0
speechmatics-transcriber-en,speechmatics-transcriber-en,SUM,numCharacters,0
anthropic-modeling-claude-3-5-sonnet-20241022,anthropic-modeling-claude-3-5-sonnet-20241022,SUM,,0
google-knowledge-base-gemini-2.5-flash,google-knowledge-base-gemini-2.5-flash,SUM,,0
anthropic-bedrock-modeling-claude-3-5-sonnet-20241022,anthropic-bedrock-modeling-claude-3-5-sonnet-20241022,SUM,,0
anthropic-modeling-claude-3-haiku-20240307,anthropic-modeling-claude-3-haiku-20240307,SUM,,0
anthropic-vertex-modeling-claude-3-5-sonnet-20241022,anthropic-vertex-modeling-claude-3-5-sonnet-20241022,SUM,,0
cerebras-modeling,cerebras-modeling,SUM,,0
anthropic-modeling-claude-sonnet-4-5-20250929,anthropic-modeling-claude-sonnet-4-5-20250929,SUM,,0
google-transcriber-gemini-2.0-flash-lite,google-transcriber-gemini-2.0-flash-lite,SUM,numCharacters,0
talkscriber-transcriber,talkscriber-transcriber,SUM,numCharacters,0
google-synthesizer-gemini-2.0-flash-lite,google-synthesizer-gemini-2.0-flash-lite,SUM,durationMS,0
playht-synthesizer-PlayHT2.0-turbo,playht-synthesizer-PlayHT2.0-turbo,SUM,durationMS,0
speechmatics-transcriber-es,speechmatics-transcriber-es,SUM,numCharacters,0
gladia-transcriber,gladia-transcriber,SUM,numCharacters,0
openai-synthesizer-tts-1-hd,openai-synthesizer-tts-1-hd,SUM,durationMS,0
anthropic-bedrock-modeling-claude-sonnet-4-20250514,anthropic-bedrock-modeling-claude-sonnet-4-20250514,SUM,,0
speechmatics-transcriber-fr,speechmatics-transcriber-fr,SUM,numCharacters,0
speechmatics-transcriber-de,speechmatics-transcriber-de,SUM,numCharacters,0
anthropic-modeling-claude-3-opus-20240229,anthropic-modeling-claude-3-opus-20240229,SUM,,0
anthropic-bedrock-modeling-claude-opus-4-5-20251101,anthropic-bedrock-modeling-claude-opus-4-5-20251101,SUM,,0
google-knowledge-base-gemini-2.0-flash-lite,google-knowledge-base-gemini-2.0-flash-lite,SUM,,0
lmnt-synthesizer,lmnt-synthesizer,SUM,durationMS,0
speechmatics-transcriber-ru,speechmatics-transcriber-ru,SUM,numCharacters,0
rime-ai-synthesizer-mistv2,rime-ai-synthesizer-mistv2,SUM,durationMS,0
